xi,oi,qi,envelope,pred_peak_mask
-0.12537270784378052,-0.005812702210388047,0.0,0.0070647641335687605,0
0.041647277772426605,-0.009524886158299484,0.0,0.009566225296803576,0
0.17451424896717072,-0.010577542844916198,0.0,0.01100997615511016,0
0.03280600532889366,-0.009688120241042325,0.0,0.011387674261779616,0
-0.023000618442893028,-0.008083961209733247,0.0,0.011182321181722112,0
0.11609510332345963,-0.0062855274724515344,0.0,0.010559636130513972,0
0.11951030790805817,-0.004334310847018356,0.0,0.009526371485765515,0
0.04571739584207535,-0.0024175931408238916,0.0,0.00765826243317273,0
0.13426609337329865,-0.0013634215816338807,0.0,0.00489918423965335,0
0.15655747056007385,-0.002347049359874984,0.0,0.002716401976487981,0
0.04116389900445938,-0.005605007490889308,0.0,0.0056796130719743,0
0.19089841842651367,-0.009921465015401022,0.0,0.009966205433092396,0
0.3757600784301758,-0.013580420524801072,0.0,0.013658776146002853,0
0.3972846269607544,-0.0154014591609097,0.0,0.01622772471260776,0
0.11327489465475082,-0.015264177104694741,0.0,0.017566187419951838,0
-0.12738701701164246,-0.013990262597848881,0.0,0.017898733379366816,0
-0.16027554869651794,-0.012376073207953702,0.0,0.017670782125446982,0
-0.000621920742560178,-0.01078543321349604,0.0,0.01676638153958641,0
0.23442503809928894,-0.01029068918064897,0.0,0.015586412106899586,0
0.00987036433070898,-0.012572335725388567,0.0,0.016391391942943662,0
-0.14444364607334137,-0.017074829327626512,0.0,0.021223509734103717,0
-0.04765720292925835,-0.02002776650741505,0.0,0.027821049235040824,0
0.054223235696554184,-0.017789068077879402,0.0,0.03335604399066923,0
0.06231091171503067,-0.010176774204154033,0.0,0.03620991862335311,0
-0.035505473613739014,-0.000255078121189379,0.0,0.036224280698645424,0
-0.035472895950078964,0.008352456658477971,0.0,0.03389090834796745,0
0.16895656287670135,0.013814754464797309,0.0,0.030445983960834366,0
0.2580738961696625,0.016766296827453998,0.0,0.027120061159542106,0
0.10691824555397034,0.01939436684581489,0.0,0.024970598190647543,0
-0.003419620683416724,0.022446800812236146,0.0,0.023592508239261647,0
0.023647718131542206,0.02144625269847171,0.0,0.02259715298960447,0
0.22882439196109772,0.008322461984394729,0.0,0.025198554817109836,0
0.6743110418319702,-0.01864706645164276,0.0,0.03559628216427895,0
0.6387529969215393,-0.04862641767735876,0.0,0.05144182022162944,0
0.3004092276096344,-0.0667024891779715,0.0,0.06828448108781932,0
0.1839318424463272,-0.06506520558426677,0.0,0.08377313595128774,0
0.17991796135902405,-0.04402193605059719,0.0,0.09724759341111396,0
-0.01913725957274437,-0.007742773169294245,0.0,0.10857514250274075,0
-0.26308491826057434,0.0378734503228518,0.0,0.11732417824870789,0
-0.5927770733833313,0.08247423137406311,0.0,0.12166305164112853,0
-0.8763722777366638,0.11076498104697757,0.0,0.11990878484485855,0
-0.502504289150238,0.11184734133110089,0.0,0.11199241903579388,0
0.04411705210804939,0.08753229696073855,0.0,0.09979216339646461,0
0.31869015097618103,0.049408429772893905,0.0,0.08588813566866337,0
0.4078836441040039,0.010896894565560396,0.0,0.0725882591233125,0
0.4590674340724945,-0.01878724381046701,0.0,0.0618244698655344,0
0.6042133569717407,-0.03692619732679655,0.0,0.054352953096990855,0
0.5796737670898438,-0.044918057589952876,0.0,0.04957140933221664,0
0.41110220551490784,-0.045045682219163594,0.0,0.045586443321856594,0
0.10009486973285675,-0.04310365839288611,0.0,0.04331017482476239,0
-0.2709806263446808,-0.05344496296023374,0.0,0.055358089566155476,0
-0.2051248997449875,-0.09472355984380476,0.0,0.09763921305540076,0
-0.0037986920215189457,-0.17258485779277138,0.0,0.17263689354448866,0
-0.028083784505724907,-0.25401460225851047,0.0,0.27885850952954133,0
-0.05059027671813965,-0.2560432965308868,0.0,0.40999247747980544,0
-0.09279123693704605,-0.09005758418516907,0.0,0.5522394161486167,0
0.08156374841928482,0.24736896733207925,0.0,0.6865356143771929,0
0.4972566068172455,0.6264855797828164,0.0,0.7934438427215394,0
0.26771777868270874,0.8541264791659667,1.0,0.8601996101663334,1
0.15262949466705322,0.8066780087415149,0.0,0.8837451316478298,0
-0.08086961507797241,0.49404371866149516,0.0,0.8657014544702697,0
-0.3696334660053253,0.04314981458527263,0.0,0.8055131634702652,0
0.17368948459625244,-0.34502730533558007,0.0,0.7034636060248197,0
0.496381938457489,-0.5037192521038685,0.0,0.5698897033032932,0
0.1935737580060959,-0.4241339393792237,0.0,0.42546442415680047,0
0.017792217433452606,-0.23620032449534611,0.0,0.29229941449468855,0
0.1638317108154297,-0.07351888640605186,0.0,0.18502583968562744,0
0.12738342583179474,0.01173109140745766,0.0,0.10839674730282503,0
0.01459222286939621,0.03519245881425529,0.0,0.060040763568246544,0
-0.016733508557081223,0.031229102140903395,0.0,0.03380032451727232,0
-0.27539166808128357,0.022462411283149103,0.0,0.022892730641608714,0
-0.14325271546840668,0.015741773905475643,0.0,0.02097362777683315,0
0.2905229926109314,0.009402663226010521,0.0,0.02299539169305238,0
0.23535019159317017,0.0009546241733850486,0.0,0.025859199383726352,0
0.07547887414693832,-0.00935008124133728,0.0,0.027771949772696553,0
-0.007464725058525801,-0.018919161018024037,0.0,0.027845685078443903,0
0.015082906000316143,-0.023496515376048466,0.0,0.025247601124535824,0
0.3316912055015564,-0.01981087014131225,0.0,0.01998055130991458,0
